Syntax version=4
Tue Apr 27 19:11:07 2021
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		xEEGADSToMCUData[0]	xEEGADSToMCUData[1]	xEEGADSToMCUData[2]	xEEGADSToMCUData[3]	xEEGADSToMCUData[4]	xEEGADSToMCUData[5]	xEEGADSToMCUData[6]	xEEGADSToMCUData[7]	xEEGADSToMCUData[8]	xEEGADSToMCUData[9]	xEEGADSToMCUData[10]	xEEGADSToMCUData[11]	xEEGADSToMCUData[12]	xEEGADSToMCUData[13]	xEEGADSToMCUData[14]	xEEGADSToMCUData[15]	xEEGADSToMCUData[16]	xEEGADSToMCUData[17]	xEEGADSToMCUData[18]	xEEGMCUToBLEData[0]	xEEGMCUToBLEData[1]	xEEGMCUToBLEData[2]	xEEGMCUToBLEData[3]	xEEGMCUToBLEData[4]	xEEGMCUToBLEData[5]	xEEGMCUToBLEData[6]	xEEGMCUToBLEData[7]	xEEGMCUToBLEData[8]	xEEGMCUToBLEData[9]	xEEGMCUToBLEData[10]	xEEGMCUToBLEData[11]	xEEGMCUToBLEData[12]	xEEGMCUToBLEData[13]	xEEGMCUToBLEData[14]	xEEGMCUToBLEData[15]	xEEGMCUToBLEData[16]	xEEGMCUToBLEData[17]	xEEGMCUToBLEData[18]
D:	time(ms)	(0x20001904,6)	(0x20001908,6)	(0x2000190c,6)	(0x20001910,6)	(0x20001914,6)	(0x20001918,6)	(0x2000191c,6)	(0x20001920,6)	(0x20001924,6)	(0x20001928,6)	(0x2000192c,6)	(0x20001930,6)	(0x20001934,6)	(0x20001938,6)	(0x2000193c,6)	(0x20001940,6)	(0x20001944,6)	(0x20001948,6)	(0x2000194c,6)	(0x20001a14,6)	(0x20001a18,6)	(0x20001a1c,6)	(0x20001a20,6)	(0x20001a24,6)	(0x20001a28,6)	(0x20001a2c,6)	(0x20001a30,6)	(0x20001a34,6)	(0x20001a38,6)	(0x20001a3c,6)	(0x20001a40,6)	(0x20001a44,6)	(0x20001a48,6)	(0x20001a4c,6)	(0x20001a50,6)	(0x20001a54,6)	(0x20001a58,6)	(0x20001a5c,6)
D:	0.14	-7.367465	-3.760991	-7.889027	2430.129639	2959.845703	2070.818848	1953.336670	2062.146973	1517.542725	3039.423828	2867.002197	394.217133	476.126678	1176.999268	1422.977417	970.184875	1471.192017	619.386414	135.776810	-7.367465	-3.760991	-7.889027	2430.129639	2959.845703	2070.818848	1953.336670	2062.146973	1517.542725	3039.423828	2867.002197	394.217133	476.126678	1176.999268	1422.977417	970.184875	1471.192017	619.386414	135.776810
D:	2.94	-7.367465	-3.760991	-7.889027	2430.129639	2959.845703	2070.818848	1953.336670	2062.146973	1517.542725	3039.423828	2867.002197	394.217133	476.126678	1176.999268	1422.977417	970.184875	1471.192017	619.386414	135.776810	-7.367465	-3.760991	-7.889027	2430.129639	2959.845703	2070.818848	1953.336670	2062.146973	1517.542725	3039.423828	2867.002197	394.217133	476.126678	1176.999268	1422.977417	970.184875	1471.192017	619.386414	135.776810
D:	5.68	-7.367465	-3.760991	-7.889027	2430.129639	2959.845703	2070.818848	1953.336670	2062.146973	1517.542725	3039.423828	2867.002197	394.217133	476.126678	1176.999268	1422.977417	970.184875	1471.192017	619.386414	135.776810	-7.367465	-3.760991	-7.889027	2430.129639	2959.845703	2070.818848	1953.336670	2062.146973	1517.542725	3039.423828	2867.002197	394.217133	476.126678	1176.999268	1422.977417	970.184875	1471.192017	619.386414	135.776810
D:	8.24	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	570.710999	577.742249	1546.147827	1534.169800	1071.592285	1713.614136	720.951599	284.219116	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	570.710999	577.742249	1546.147827	1534.169800	1071.592285	1713.614136	720.951599	284.219116
D:	10.69	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	570.710999	577.742249	1546.147827	1534.169800	1071.592285	1713.614136	720.951599	284.219116	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	570.710999	577.742249	1546.147827	1534.169800	1071.592285	1713.614136	720.951599	284.219116
D:	13.20	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	570.710999	577.742249	1546.147827	1534.169800	1071.592285	1713.614136	720.951599	284.219116	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	570.710999	577.742249	1546.147827	1534.169800	1071.592285	1713.614136	720.951599	284.219116
D:	17.62	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	570.710999	577.742249	1546.147827	1534.169800	1071.592285	1713.614136	720.951599	284.219116	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	570.710999	577.742249	1546.147827	1534.169800	1071.592285	1713.614136	720.951599	284.219116
D:	20.39	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	570.710999	577.742249	1546.147827	1534.169800	1071.592285	1713.614136	720.951599	284.219116	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	570.710999	577.742249	1546.147827	1534.169800	1071.592285	1713.614136	720.951599	284.219116
D:	23.15	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171	3.717076	6.588918	2.189258	2662.390137	3279.097168	2171.517090	2136.799072	2279.486816	1665.449341	3264.728027	3339.650879	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171
D:	25.85	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171
D:	28.45	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171
D:	31.05	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171
D:	33.86	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171
D:	36.47	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171	-25.672544	-23.306540	-27.686140	2904.896240	3402.573242	2306.101807	2275.795166	2385.869141	1908.602905	3461.187256	3577.448242	597.458618	658.755676	1490.143311	1656.564331	1271.076050	1780.821289	822.447937	219.188171
D:	39.20	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247	-25.672544	-23.306540	-27.686140	2904.896240	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247
D:	41.79	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247
D:	44.15	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247
D:	46.58	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247
D:	49.01	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247
D:	51.45	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247
D:	54.01	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247	25.094599	29.345161	20.570240	2999.393311	3394.246826	2234.452881	2273.597168	2465.297119	1985.365112	3503.222168	3672.830322	697.486267	733.901733	1530.102539	1770.651855	1319.650635	1811.951172	839.082092	318.328247
D:	56.71	-32.480495	-33.842411	-36.635639	2958.170410	3193.617920	2186.458740	2136.717773	2407.852783	1965.295288	3325.913574	3531.434814	670.781433	705.595886	1408.036011	1673.973755	1265.179565	1734.528076	862.193970	319.436462	-32.480495	-33.842411	-36.635639	2958.170410	3193.617920	2186.458740	2136.717773	2407.852783	1965.295288	3325.913574	3531.434814	670.781433	705.595886	1408.036011	1673.973755	1265.179565	1734.528076	862.193970	319.436462
D:	59.37	-32.480495	-33.842411	-36.635639	2958.170410	3193.617920	2186.458740	2136.717773	2407.852783	1965.295288	3325.913574	3531.434814	670.781433	705.595886	1408.036011	1673.973755	1265.179565	1734.528076	862.193970	319.436462	-32.480495	-33.842411	-36.635639	2958.170410	3193.617920	2186.458740	2136.717773	2407.852783	1965.295288	3325.913574	3531.434814	670.781433	705.595886	1408.036011	1673.973755	1265.179565	1734.528076	862.193970	319.436462
D:	61.90	-32.480495	-33.842411	-36.635639	2958.170410	3193.617920	2186.458740	2136.717773	2407.852783	1965.295288	3325.913574	3531.434814	670.781433	705.595886	1408.036011	1673.973755	1265.179565	1734.528076	862.193970	319.436462	-32.480495	-33.842411	-36.635639	2958.170410	3193.617920	2186.458740	2136.717773	2407.852783	1965.295288	3325.913574	3531.434814	670.781433	705.595886	1408.036011	1673.973755	1265.179565	1734.528076	862.193970	319.436462
D:	64.73	-32.480495	-33.842411	-36.635639	2958.170410	3193.617920	2186.458740	2136.717773	2407.852783	1965.295288	3325.913574	3531.434814	670.781433	705.595886	1408.036011	1673.973755	1265.179565	1734.528076	862.193970	319.436462	-32.480495	-33.842411	-36.635639	2958.170410	3193.617920	2186.458740	2136.717773	2407.852783	1965.295288	3325.913574	3531.434814	670.781433	705.595886	1408.036011	1673.973755	1265.179565	1734.528076	862.193970	319.436462
